PROVEEDOR;REFERENCIA;COP METRO;USD METER;MUESTRARIO;T&C Traje 2P;T&C Traje 3P;T&C Pantalon;T&C Saco ;T&C Chaleco;T&C Camisa L2;PVC Traje 2;PVC Traje 3p;PVC PANTALON;PVC Saco;PVC Camisa;PVC Accesorios;PVP Traje 2P USD;PVP Traje 3P USD;PVP Pantalon USD;PVP Saco USD;PVP Camisa USD;PVP Accesorios USD;;;;;;;
DYSATEX;770;30613;9,276666667;DONNA;497961,6;622452;129796,9;368164,7;134490,4;0;1500000;1950000;525000;1125000;;;520;676;182;390;0;0;;;;;;;
DYSATEX;772;30613;9,276666667;DONNA;497961,6;622452;129796,9;368164,7;134490,4;0;1500000;1950000;525000;1125000;;;520;676;182;390;0;0;;;;;;;
DYSATEX;776;30613;9,276666667;DONNA;497961,6;622452;129796,9;368164,7;134490,4;0;1500000;1950000;525000;1125000;;;520;676;182;390;0;0;;;;;;;
DYSATEX;871;30613;9,276666667;DONNA;497961,6;622452;129796,9;368164,7;134490,4;0;1500000;1950000;525000;1125000;;;520;676;182;390;0;0;;;;;;;
DYSATEX;886;30613;9,276666667;DONNA;497961,6;622452;129796,9;368164,7;134490,4;0;1500000;1950000;525000;1125000;;;520;676;182;390;0;0;;;;;;;
DYSATEX;901;30613;9,276666667;DONNA;497961,6;622452;129796,9;368164,7;134490,4;0;1500000;1950000;525000;1125000;;;520;676;182;390;0;0;;;;;;;
DYSATEX;970;30613;9,276666667;DONNA;497961,6;622452;129796,9;368164,7;134490,4;0;1500000;1950000;525000;1125000;;;520;676;182;390;0;0;;;;;;;
DYSATEX;972;30613;9,276666667;DONNA;497961,6;622452;129796,9;368164,7;134490,4;0;1500000;1950000;525000;1125000;;;520;676;182;390;0;0;;;;;;;
DYSATEX;973;30613;9,276666667;DONNA;497961,6;622452;129796,9;368164,7;134490,4;0;1500000;1950000;525000;1125000;;;520;676;182;390;0;0;;;;;;;
DYSATEX;PALATINO;30613;9,276666667;DONNA;497961,6;622452;129796,9;368164,7;134490,4;0;1500000;1950000;525000;1125000;;;520;676;182;390;0;0;;;;;;;
DYSATEX;M12401/4;30613;9,276666667;DONNA;497961,6;622452;129796,9;368164,7;134490,4;0;1500000;1950000;525000;1125000;;;520;676;182;390;0;0;;;;;;;
DYSATEX;MOUFLON;30613;9,276666667;DONNA;497961,6;622452;129796,9;368164,7;134490,4;0;1500000;1950000;525000;1125000;;;520;676;182;390;0;0;;;;;;;
DYSATEX;779-02 / 779-04;41650;12,62121212;DONNA;533280;666600;144145;389135;143320;0;1500000;1950000;525000;1125000;;;520;676;182;390;0;0;;;;;;;
DYSATEX;B124/1;19214;5,822424242;DONNA;461484,8;576856;114978,2;346506,6;125371,2;0;1500000;1950000;525000;1125000;;;520;676;182;390;0;0;;;;;;;
DYSATEX;D47 / D71;117334;35,55575758;DINAMICO;775468,8;969336;242534,2;532934,6;203867,2;0;2300000;2990000;900000;1725000;;;790;1027;276,5;592,5;0;0;;;;;;;
DYSATEX;D47 130-01 / 20;117334;35,55575758;DINAMICO;775468,8;969336;242534,2;532934,6;203867,2;0;2300000;2990000;900000;1725000;;;790;1027;276,5;592,5;0;0;;;;;;;
